name,dept,area,count,adjustedcount,year
Kui Ren 0001,Zhejiang University,cvpr,1.0,0.25,2024
Kui Ren 0001,Zhejiang University,cvpr,2.0,0.30952,2025
Kui Ren 0001,Zhejiang University,dac,1.0,0.14286,2020
Kui Ren 0001,Zhejiang University,dac,3.0,0.43452,2022
Kui Ren 0001,Zhejiang University,dac,1.0,0.16667,2023
Kui Ren 0001,Zhejiang University,dac,1.0,0.33333,2024
Kui Ren 0001,Zhejiang University,dac,1.0,0.16667,2025
Kui Ren 0001,Zhejiang University,eurocrypt,1.0,0.25,2023
Kui Ren 0001,Zhejiang University,eurosys,1.0,0.16667,2022
Kui Ren 0001,Zhejiang University,eurosys,1.0,0.076923,2025
Kui Ren 0001,Zhejiang University,fse,3.0,0.3373,2025
Kui Ren 0001,Zhejiang University,iccv,1.0,0.2,2019
Kui Ren 0001,Zhejiang University,iccv,1.0,0.16667,2021
Kui Ren 0001,Zhejiang University,iccv,2.0,0.26786,2023
Kui Ren 0001,Zhejiang University,icde,2.0,0.24286,2023
Kui Ren 0001,Zhejiang University,icde,3.0,0.56667,2024
Kui Ren 0001,Zhejiang University,icde,1.0,0.2,2025
Kui Ren 0001,Zhejiang University,iclr,1.0,0.2,2022
Kui Ren 0001,Zhejiang University,iclr,1.0,0.2,2024
Kui Ren 0001,Zhejiang University,iclr,2.0,0.25397,2025
Kui Ren 0001,Zhejiang University,icml,1.0,0.16667,2025
Kui Ren 0001,Zhejiang University,icse,3.0,0.575,2024
Kui Ren 0001,Zhejiang University,ijcai,1.0,0.14286,2019
Kui Ren 0001,Zhejiang University,ijcai,1.0,0.125,2023
Kui Ren 0001,Zhejiang University,issta,1.0,0.16667,2020
Kui Ren 0001,Zhejiang University,kdd,1.0,0.125,2018
Kui Ren 0001,Zhejiang University,kdd,1.0,0.125,2023
Kui Ren 0001,Zhejiang University,mobicom,1.0,0.16667,2016
Kui Ren 0001,Zhejiang University,mobicom,1.0,0.16667,2017
Kui Ren 0001,Zhejiang University,mobicom,1.0,0.14286,2020
Kui Ren 0001,Zhejiang University,mobicom,2.0,0.22222,2022
Kui Ren 0001,Zhejiang University,mobicom,2.0,0.33333,2023
Kui Ren 0001,Zhejiang University,mobisys,1.0,0.125,2020
Kui Ren 0001,Zhejiang University,mobisys,1.0,0.14286,2025
Kui Ren 0001,Zhejiang University,ndss,2.0,0.39286,2013
